BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
14624 FRIAR ST,71.8,98,29072.0,Multifamily Housing,40.2,2399.0,1978.0
356 S WESTERN AVE,139.5,Not Available,26837.0,Mixed Use Property,87.4,1873.1,1933.0
15455 SAN FERNANDO MISSION BLVD,161.1,49,46322.0,Office,53.3,1167.7,1988.0
5939 WHITSETT AVE,80.6,49,24507.0,Multifamily Housing,55.3,1785.6,1963.0
10210 S FIGUEROA ST,93.1,99,46976.0,Multifamily Housing,32.9,2823.1,1999.0
6340 HOLLYWOOD BLVD,8.1,Not Available,21094.0,Mixed Use Property,5.6,593.2,1930.0
7601 W SUNSET BLVD,49.8,Not Available,25330.0,Other - Services,32.7,217.0,1928.0
3747 CLARINGTON AVE,65.8,84,27380.0,Multifamily Housing,41.8,1213.3,1958.0
2016 E 15TH ST,32,59,34500.0,Non-Refrigerated Warehouse,13.5,219.9,1990.0
7765 LEMONA AVE,8.5,97,42840.0,Non-Refrigerated Warehouse,3.0,33.7,1963.0
10310 NORRIS AVE,18.5,74,28808.0,Distribution Center,9.8,406.1,1989.0
5439 W 102ND ST,149.3,93,74700.0,Office,33.0,251.6,1990.0
12534 ROSCOE BLVD,59.8,70,21074.0,Multifamily Housing,47.6,1712.3,1962.0
13000 SAN FERNANDO RD,85.4,30,43844.0,Non-Refrigerated Warehouse,30.6,1227.6,1979.0
10314 MASON AVE,519.9,Not Available,61111.0,Wholesale Club/Supercenter,124.2,5722.6,1967.0
1065 S LA CIENEGA BLVD,87.3,72,53284.0,Multifamily Housing,27.8,1958.4,1982.0
12655 BEATRICE ST,3971.7,Not Available,250000.0,Office,232.0,609.7,1963.0
3071 LEEWARD AVE,60.5,85,21712.0,Multifamily Housing,49.4,2241.9,1927.0
2850 LEEWARD AVE,91.2,21,27232.0,Multifamily Housing,57.8,4886.3,1927.0
813 ALPINE ST,118.6,70,57229.0,Multifamily Housing,33.5,1435.5,1992.0
465 S DETROIT ST,16.8,Not Available,21952.0,Multifamily Housing,11.6,535.6,1928.0
255 W 5TH ST,752.8,90,429461.0,Multifamily Housing,25.6,11882.8,2008.0
19626 VENTURA BLVD,27,Not Available,25981.0,Retail Store,16.5,350.8,1989.0
4565 ELECTRONICS PL,64.8,61,55271.0,Non-Refrigerated Warehouse,17.4,251.3,1985.0
2118 COMPTON AVE,8.3,95,22410.0,Distribution Center,5.4,10.5,2003.0
533 N MARIPOSA AVE,116.5,71,53850.0,Multifamily Housing,35.5,3158.3,1986.0
1150 N NORMANDIE AVE,39.8,59,21841.0,Multifamily Housing,26.8,611.9,1964.0
7635 BURNET AVE,44.9,62,26278.0,Distribution Center,24.9,178.0,2006.0
19787 BAHAMA ST,9.7,96,44800.0,Non-Refrigerated Warehouse,3.3,18.0,1968.0
6851 SEPULVEDA BLVD,28.8,Not Available,23450.0,Multifamily Housing,17.9,2321.2,1978.0
6061 DE SOTO AVE,101.5,Not Available,50220.0,Other - Recreation,29.5,373.9,1971.0
300 S GRAND AVE,3651.6,80,1039642.0,Office,58.6,4619.4,1985.0
6313 MONTEREY RD,79.2,64,38862.0,Multifamily Housing,32.6,2398.3,1989.0
707 WILSHIRE BLVD,4569.4,83,1327532.0,Office,50.2,7469.7,1974.0
5437 HAROLD WAY,30.9,Not Available,21056.0,Multifamily Housing,21.4,1675.6,1989.0
6725 KESTER AVE,56.2,Not Available,26820.0,Vocational School,30.6,696.5,1974.0
8711 S HARVARD BLVD,327.7,100,262525.0,Multifamily Housing,20.8,8768.7,2005.0
2715 JAMES M WOOD BLVD,83.7,Not Available,29850.0,Multifamily Housing,40.9,4696.3,1989.0
8017 SELMA AVE,79.8,Not Available,32706.0,Multifamily Housing,41.7,1351.7,1949.0
2959 LEEWARD AVE,42.5,Not Available,52904.0,Multifamily Housing,13.3,6457.2,1987.0
1630 W 186TH ST,619.1,Not Available,74066.0,Laboratory,129.9,1908.1,1974.0
5657 WILSHIRE BLVD,124,55,47619.0,Office,38.0,2067.6,1949.0
12600 RIVERSIDE DR,285.1,1,28182.0,Hotel,175.5,2903.2,1964.0
15333 SHERMAN WAY,1460.6,Not Available,38707.0,Strip Mall,704.3,3370.7,1985.0
20133 SHERMAN WAY,311.2,Not Available,42135.0,Retail Store,119.4,1419.1,1965.0
12457 GLADSTONE AVE,47,Not Available,41464.0,Distribution Center,16.9,1157.2,1979.0
14933 CALVERT ST,36.5,63,44160.0,Non-Refrigerated Warehouse,12.1,106.2,1965.0
1525 S BROADWAY,69,Not Available,112711.0,Other,8.9,247.2,1965.0
13020 BRADLEY AVE,52.4,52,37193.0,Non-Refrigerated Warehouse,21.7,246.1,1979.0
6633 VINELAND AVE,119.9,59,40810.0,Multifamily Housing,50.4,2895.0,1964.0
444 QUAY AVE,13.9,Not Available,29760.0,Non-Refrigerated Warehouse,6.8,617.9,1992.0
21320 DEERING CT,23.1,53,23095.0,Non-Refrigerated Warehouse,14.6,133.2,1998.0
1325 RIO VISTA AVE,19,64,20000.0,Non-Refrigerated Warehouse,13.9,44.9,1950.0
8525 TOBIAS AVE,404.6,93,195032.0,Multifamily Housing,33.5,10664.2,1985.0
1138 S CORNING ST,66.7,63,29942.0,Multifamily Housing,37.6,1089.9,1965.0
4585 ELECTRONICS PL,251.9,Not Available,182766.0,Performing Arts,20.5,519.1,1965.0
4750 WILSHIRE BLVD,256.1,Not Available,148994.0,Parking,26.9,1488.8,1985.0
1608 COTNER AVE,30.2,Not Available,89530.0,Self-Storage Facility,4.9,25.0,2006.0
118 S WETHERLY DR,28,Not Available,28387.0,Multifamily Housing,17.2,218.1,1965.0
15739 VENTURA BLVD,294.1,53,118000.0,Worship Facility,38.6,2057.3,1960.0
820 S KINGSLEY DR,52.3,71,29100.0,Multifamily Housing,28.7,1201.4,1969.0
9541 COZYCROFT AVE,75.9,71,30000.0,Manufacturing/Industrial Plant,36.9,394.2,1973.0
7238 CANBY AVE,166.6,81,82475.0,Multifamily Housing,32.2,5464.7,2013.0
9333 OSO AVE,12,81,30080.0,Distribution Center,6.3,77.0,1979.0
12400 MONTAGUE ST,23.7,86,59000.0,Distribution Center,5.9,12.0,1975.0
5900 W WILSHIRE BLVD,1453.9,91,452763.0,Office,49.4,5019.6,1971.0
5431 W 104TH ST,48.5,98,34158.0,Office,24.0,436.1,1951.0
15901 OLDEN ST,98.2,57,29693.0,Office,48.3,578.7,1982.0
9601 OWENSMOUTH AVE,44.8,95,45920.0,Non-Refrigerated Warehouse,14.9,0.5,1979.0
9500 TOPANGA CANYON BLVD,25.6,56,20339.0,Non-Refrigerated Warehouse,18.8,482.5,1992.0
13248 ROSCOE BLVD,608.5,Not Available,163437.0,Worship Facility,56.2,709.4,1957.0
3255 SAWTELLE BLVD,92.6,78,47544.0,Multifamily Housing,32.5,1558.9,2002.0
810 S FLOWER ST,594.9,65,237962.0,Multifamily Housing,39.6,10272.2,1924.0
13215 LOUVRE ST,41.7,Not Available,27675.0,Manufacturing/Industrial Plant,22.0,94.3,1974.0
444 S OCCIDENTAL BLVD,34.8,100,404448.0,Multifamily Housing,1.3,20719.8,1989.0
550 VETERAN AVE,81.6,72,38382.0,Multifamily Housing,36.0,2465.6,1970.0
1844 MORTON AVE,55.1,70,29661.0,Multifamily Housing,29.2,1178.9,1987.0
6400 LAUREL CANYON BLVD,320.6,65,87277.0,Office,55.5,1442.2,1984.0
14526 NORDHOFF ST,515.4,Not Available,90511.0,Retail Store,91.6,120.4,1967.0
1220 MAPLE AVE,99.1,Not Available,140000.0,Self-Storage Facility,10.3,430.3,1927.0
11030 HARTSOOK ST,147.5,93,78300.0,Multifamily Housing,30.9,2551.6,1989.0
1801 S HILL ST,3.1,Not Available,30700.0,Manufacturing/Industrial Plant,1.5,33.7,1928.0
8510 COLUMBUS AVE,60.8,Not Available,45550.0,Multifamily Housing,22.0,5169.0,1963.0
670 KELTON AVE,102.7,78,58362.0,Multifamily Housing,28.3,2278.6,2017.0
15643 SHERMAN WAY,203.9,55,40000.0,Office,77.9,245.4,1979.0
3736 JASMINE AVE,54.7,81,28359.0,Multifamily Housing,32.3,913.4,1983.0
9901 WASHINGTON BLVD,499.1,1,123879.0,Multifamily Housing,64.4,3248.0,2016.0
421 S HOBART BLVD,65.3,15,20658.0,Multifamily Housing,52.4,1470.7,1971.0
11201 OTSEGO ST,200.4,91,82586.0,Multifamily Housing,39.8,2.7,2006.0
4101 OAKWOOD AVE,34.2,99,21012.0,Multifamily Housing,29.8,1695.9,1972.0
8510 COLUMBUS AVE,77.8,Not Available,45550.0,Multifamily Housing,24.9,6702.5,1963.0
22501 DEL VALLE ST,66.3,93,28260.0,Multifamily Housing,38.3,1134.8,1990.0
4751 FOUNTAIN AVE,180.9,Not Available,41938.0,Office,62.9,700.9,1950.0
18331 KITTRIDGE ST,48.8,96,33924.0,Multifamily Housing,21.0,2409.5,1961.0
850 ECHO PARK AVE,112.4,Not Available,104345.0,Mixed Use Property,16.2,567.1,1994.0
1725 N EDGEMONT ST,21.4,Not Available,20808.0,Multifamily Housing,15.0,685.6,1927.0
609 S ST. PAUL AVE,577.6,84,254608.0,Multifamily Housing,39.1,9746.4,2011.0
6690 W SUNSET BLVD,139.9,Not Available,33284.0,Vocational School,69.5,347.1,1983.0
2410 W 7TH ST,1.3,Not Available,2000.0,Medical Office,9.8,345.0,2017.0
6701 ETON AVE,756.6,93,269608.0,Multifamily Housing,46.8,14.9,2013.0
1667 BEVERLY BLVD,23.2,Not Available,27486.0,Other,12.3,619.0,2008.0
15451 SAN FERNANDO MISSION BLVD,149.8,62,46655.0,Office,47.7,692.4,1990.0
925 HOOPER AVE,125,62,21600.0,Refrigerated Warehouse,84.5,160.1,1975.0
18434 COLLINS ST,100.9,73,39954.0,Multifamily Housing,42.7,1677.1,1966.0
5999 CENTER DR,850.7,56,174084.0,Office,72.4,4123.0,2000.0
7741 HAYVENHURST AVE,121.5,Not Available,30720.0,Fitness Center/Health Club/Gym,57.7,668.0,2003.0
12685 VAN NUYS BLVD,56,81,97467.0,Non-Refrigerated Warehouse,8.8,282.0,1984.0
3641 HOLDREGE AVE,92.6,53,28925.0,Office,46.7,142.9,1955.0
14660 ARMINTA ST,275.4,Not Available,40740.0,Manufacturing/Industrial Plant,119.4,267.1,1952.0
5810 YOLANDA AVE,38.9,92,27193.0,Multifamily Housing,21.0,784.7,1968.0
694 S ALVARADO ST,26,Not Available,33506.0,Retail Store,11.3,0.0,1920.0
7843 VINELAND AVE,44.6,97,21203.0,Multifamily Housing,35.2,1412.3,1995.0
12575 BEATRICE ST,29.9,76,23072.0,Office,18.9,207.2,1969.0
21050 VANOWEN ST,553.6,83,241657.0,Multifamily Housing,38.2,7883.3,2007.0
325 W ADAMS BLVD,2688,32,895279.0,Multifamily Housing,49.2,38020.5,2015.0
6730 RIVERTON AVE,33.2,Not Available,34200.0,Multifamily Housing,14.2,2080.3,1979.0
10864 LAUREL CANYON BLVD,18.8,Not Available,124730.0,Self-Storage Facility,2.2,163.1,1988.0
4751 WILSHIRE BLVD,565.4,87,110000.0,Office,77.4,1555.2,1984.0
7000 VASSAR AVE,111.3,89,44925.0,Multifamily Housing,40.9,3247.3,1955.0
9811 OWENSMOUTH AVE,74.6,16,20360.0,Non-Refrigerated Warehouse,60.3,270.0,1985.0
19737 NORDHOFF PL,73.1,64,35000.0,Mixed Use Property,31.2,230.5,1981.0
2455 COLORADO BLVD,171.7,99,115741.0,Multifamily Housing,24.0,3500.1,2006.0
935 E 59TH ST,745.1,1,94800.0,Non-Refrigerated Warehouse,114.7,3784.4,1944.0
11750 ROSCOE BLVD,22.6,72,37500.0,Non-Refrigerated Warehouse,8.8,666.5,1973.0
9638 TOPANGA CANYON PL,71.2,77,26885.0,Non-Refrigerated Warehouse,40.5,547.6,1981.0
508 GULF AVE,8.9,Not Available,39280.0,Multifamily Housing,3.3,1569.4,1985.0
321 E 2ND ST,210.9,58,54827.0,Office,57.3,812.8,1963.0
14403 ADDISON ST,66.4,86,25597.0,Multifamily Housing,44.7,890.9,1961.0
8440 VAN NUYS BLVD,55.2,84,22988.0,Bank Branch,35.0,30.7,1956.0
5515 PENFIELD AVE,50.5,90,32408.0,Multifamily Housing,22.7,3177.0,1969.0
4101 OAKWOOD AVE,29.2,100,21012.0,Multifamily Housing,25.3,1801.0,1972.0
7249 LANKERSHIM BLVD,5.4,94,40000.0,Non-Refrigerated Warehouse,2.0,25.7,1950.0
18424 COLLINS ST,52.6,92,28680.0,Multifamily Housing,27.1,2013.8,1964.0
3708 WATSEKA AVE,72.2,Not Available,28644.0,Multifamily Housing,42.2,1510.3,1972.0
1801 S HILL ST,0,Not Available,30700.0,Manufacturing/Industrial Plant,0.0,0.0,1928.0
505 N FIGUEROA ST,791.1,62,266747.0,Multifamily Housing,49.8,14478.5,2003.0
734 S ALAMEDA ST,45.1,28,29940.0,Non-Refrigerated Warehouse,22.0,95.8,1967.0
515 KELTON AVE,62.9,Not Available,110000.0,Multifamily Housing,8.3,1276.9,1973.0
4055 TUJUNGA AVE,59,93,36989.0,Multifamily Housing,25.0,1428.8,1963.0
1441 W 8TH ST,47.6,Not Available,23278.0,Mixed Use Property,31.3,501.2,1946.0
8553 SEPULVEDA BLVD,54.8,Not Available,39750.0,Multifamily Housing,22.8,4762.1,1988.0
12961 SAN FERNANDO RD,46.7,Not Available,20358.0,Manufacturing/Industrial Plant,33.5,97.2,1958.0
12015 KLING ST,64.8,74,23973.0,Multifamily Housing,46.7,1118.3,1961.0
611 S VIRGIL AVE,27.7,Not Available,28248.0,Multifamily Housing,14.8,1585.1,1927.0
1050 S HILL ST,54.9,98,43039.0,Retail Store,18.6,209.5,1980.0
7805 NOBLE AVE,5.5,Not Available,26250.0,Non-Refrigerated Warehouse,3.1,40.4,1962.0
5431 W 104TH ST,66.4,94,34158.0,Office,33.5,211.0,1951.0
1243 S OLIVE ST,524.4,100,269419.0,Multifamily Housing,30.4,7800.7,2016.0
506 W 132ND ST,7.7,96,23263.0,Non-Refrigerated Warehouse,5.5,38.9,1974.0
11266 OTSEGO ST,116.2,51,30666.0,Multifamily Housing,62.7,1675.6,1960.0
10831 W PICO BLVD,131.9,25,31207.0,Retail Store,61.7,0.3,1991.0
927 S GRAND VIEW ST,37.7,82,21698.0,Multifamily Housing,29.0,1039.6,2010.0
13805 SATICOY ST,17.9,85,20040.0,Non-Refrigerated Warehouse,13.5,95.8,1961.0
21827 LANARK ST,88.7,71,31346.0,Multifamily Housing,48.0,2710.2,1963.0
12910 CULVER BLVD,877.4,7,100287.0,Office,124.6,1281.4,1971.0
7800 WOODMAN AVE,323.9,Not Available,174910.0,Multifamily Housing,27.0,30198.1,1970.0
3748 W 9TH ST,79.1,73,31392.0,Multifamily Housing,41.1,1074.2,1929.0
408 S SPRING ST,87.8,93,90750.0,Multifamily Housing,16.0,1098.1,1903.0
14700 ROSCOE BLVD,5.9,100,34400.0,Multifamily Housing,2.5,4571.3,1968.0
6841 SEPULVEDA BLVD,90.5,66,33619.0,Multifamily Housing,45.2,2646.6,1965.0
211 S LA FAYETTE PARK PL,156.6,98,71812.0,Multifamily Housing,35.8,5959.7,1971.0
14602 VINCENNES ST,196.1,100,138584.0,Multifamily Housing,20.7,11961.4,1988.0
610 W CHILDS WAY,665.7,Not Available,104555.0,College/University,111.4,601.4,2013.0
7633 HASKELL AVE,16.8,90,39783.0,Non-Refrigerated Warehouse,7.1,151.9,1971.0
334 S MAIN ST,425.7,74,166864.0,Multifamily Housing,39.9,5411.4,2010.0
4215 VINELAND AVE,53.6,94,28494.0,Multifamily Housing,31.9,1849.2,1963.0
9907 WHITE OAK AVE,172,86,68894.0,Multifamily Housing,40.9,6053.2,1996.0
12251 SATICOY ST,27.5,Not Available,38680.0,Distribution Center,10.4,190.2,1979.0
8133 SEPULVEDA BLVD,75.3,Not Available,48189.0,Multifamily Housing,29.4,4404.5,1978.0
6125 FULTON AVE,45.7,99,30516.0,Multifamily Housing,21.9,1553.0,1975.0
7300 LANKERSHIM BLVD,175.5,98,122867.0,Multifamily Housing,20.8,18144.7,1970.0
1630 W 3RD ST,175.5,98,85100.0,Multifamily Housing,38.8,2470.1,1978.0
6645 SYLMAR AVE,63.9,96,42280.0,Multifamily Housing,22.1,5121.9,1978.0
3427 FLETCHER DR,81.2,94,53406.0,Multifamily Housing,22.2,3546.5,1985.0
1414 GREENFIELD AVE,74.4,98,40000.0,Multifamily Housing,31.5,1337.5,1973.0
3971 POTOMAC AVE,54.9,83,25139.0,Multifamily Housing,38.7,1176.7,1956.0
441 W 3RD ST,127.7,99,55726.0,Multifamily Housing,38.7,2583.0,1987.0
3327 E SABINA ST,294.4,79,155529.0,Multifamily Housing,30.9,8907.8,2012.0
741 IROLO ST,129,94,97800.0,Multifamily Housing,19.3,11929.2,1985.0
3255 WILSHIRE BLVD,420.6,93,206583.0,Office,30.5,1690.3,1976.0
14625 RAYEN ST,16.1,100,42876.0,Multifamily Housing,5.5,3895.1,1965.0
500 W 7TH ST,195.3,Not Available,147000.0,Other,20.2,6621.8,1917.0
12970 BRADLEY AVE,526.1,Not Available,37680.0,Manufacturing/Industrial Plant,245.3,1356.2,1955.0
5301 NEWCASTLE AVE,108.5,75,46472.0,Multifamily Housing,37.9,1961.4,1964.0
15130 VENTURA BLVD,57.1,87,20658.0,Office,30.4,105.5,1963.0
16823 SATICOY ST,12.9,Not Available,22971.0,Manufacturing/Industrial Plant,9.0,136.1,1984.0
3748 W 9TH ST,81.3,66,31392.0,Multifamily Housing,42.4,1050.3,1929.0
5250 YORK BLVD,425.9,1,30367.0,Wholesale Club/Supercenter,226.9,1626.3,1999.0
15540 VANOWEN ST,101.7,Not Available,43769.0,Multifamily Housing,43.8,7379.5,1972.0
11116 AQUA VISTA ST,34.4,100,32358.0,Multifamily Housing,15.5,917.1,1958.0
427 S MARIPOSA AVE,89.7,95,40960.0,Multifamily Housing,37.4,1732.5,1929.0
18356 OXNARD ST,64,6,26706.0,Non-Refrigerated Warehouse,39.6,380.0,1969.0
12970 BRADLEY AVE,588.7,Not Available,37680.0,Manufacturing/Industrial Plant,258.3,1202.9,1955.0
5680 RESEDA BLVD,4.4,100,30964.0,Multifamily Housing,2.1,1073.2,1977.0
1320 W 7TH ST,138.3,99,98939.0,Multifamily Housing,24.0,13210.6,2021.0
4821 LANKERSHIM BLVD,173.3,Not Available,20823.0,Strip Mall,140.0,1083.2,1937.0
14740 ROSCOE BLVD,51.8,100,38200.0,Multifamily Housing,19.8,4738.9,1968.0
4180 MARLTON AVE,49,99,46826.0,Multifamily Housing,15.8,1798.3,1989.0
3200 WILSHIRE BLVD,596.5,Not Available,199408.0,Office,44.4,2647.7,1961.0
433 MIDVALE AVE,119,92,52398.0,Multifamily Housing,37.6,917.9,2006.0
8506 OSAGE AVE,1303,Not Available,64847.0,Manufacturing/Industrial Plant,351.9,9605.7,1982.0
1630 W 3RD ST,146.5,100,85100.0,Multifamily Housing,32.4,2067.6,1978.0
1630 N SAN PABLO ST,344.4,Not Available,359949.0,Parking,14.0,12.7,2016.0
5960 SEPULVEDA BLVD,39.8,100,53082.0,Retail Store,12.4,21.7,1988.0
2011 N SOTO ST,349.9,55,82884.0,Office,64.6,1318.2,2011.0
12950 CULVER BLVD,319.2,1,22381.0,Office,209.0,107.7,2000.0
6628 SEPULVEDA BLVD,98.8,99,67357.0,Multifamily Housing,21.4,10930.5,1971.0
15025 SATICOY ST,83.3,100,27034.0,Multifamily Housing,58.0,3727.5,1964.0
1759 ORCHID AVE,332.9,1,40502.0,Multifamily Housing,151.2,2215.7,1927.0
6626 HAYVENHURST AVE,39,100,60408.0,Multifamily Housing,12.2,5269.3,1980.0
5301 NEWCASTLE AVE,102.3,80,46472.0,Multifamily Housing,36.2,2272.6,1964.0
3434 S GRAND AVE,5292.4,4,299833.0,Office,290.3,15935.4,1966.0
15537 NORDHOFF ST,101.6,43,27879.0,Multifamily Housing,61.8,2715.4,1970.0
5960 SEPULVEDA BLVD,101.7,95,53082.0,Retail Store,28.0,175.0,1988.0
1655 N MCCADDEN PL,170.1,Not Available,59319.0,Vocational School,41.8,715.2,1955.0
12251 SATICOY ST,29.7,Not Available,38680.0,Distribution Center,11.2,222.5,1979.0
171 S LA BREA AVE,136,Not Available,81826.0,Mixed Use Property,24.3,701.2,1932.0
12970 BRADLEY AVE,526.6,Not Available,37680.0,Manufacturing/Industrial Plant,227.8,1362.2,1955.0
8916 WILLIS AVE,97.3,Not Available,41999.0,Multifamily Housing,33.8,3179.2,1979.0
11755 WILSHIRE BLVD,701.3,95,358478.0,Office,28.5,2058.0,1986.0
3623 JASMINE AVE,92,53,41181.0,Multifamily Housing,36.8,1651.7,2001.0
10800 S MAIN ST,82.6,46,30468.0,Multifamily Housing,46.6,1925.5,1992.0
11922 KLING ST,68.2,90,36605.0,Multifamily Housing,30.0,1748.9,1964.0
1825 N CHEROKEE AVE,100.1,58,42945.0,Multifamily Housing,39.4,1849.2,1963.0
3903 WILSHIRE BLVD,35.4,Not Available,45303.0,Worship Facility,12.3,448.2,1926.0
3441 W 2ND ST,124.5,57,44934.0,Multifamily Housing,48.4,2853.8,1923.0
17925 DEVONSHIRE ST,81.9,21,22687.0,Multifamily Housing,60.9,1499.1,1963.0
424 S BROADWAY,212.8,10,74624.0,Multifamily Housing,45.3,4536.9,1906.0
1825 N CHEROKEE AVE,104.9,49,42945.0,Multifamily Housing,40.9,2411.0,1963.0
814 S GRAND VIEW ST,82.5,88,42600.0,Multifamily Housing,32.6,4707.5,1991.0
8525 W PICO BLVD,59.6,100,96708.0,Office,11.1,317.9,2010.0
18355 COLLINS ST,128.6,63,44163.0,Multifamily Housing,49.0,3016.9,1970.0
2959 LEEWARD AVE,173.8,26,52904.0,Multifamily Housing,57.5,6349.5,1987.0
7335 VAN NUYS BLVD,84.6,83,40732.0,Office,30.3,525.9,1960.0
13516 DESMOND ST,64.2,Not Available,25810.0,Other,41.1,235.6,1963.0
2127 RODNEY DR,44.1,97,45879.0,Multifamily Housing,14.0,955.3,1986.0
6317 WILSHIRE BLVD,191.3,66,63360.0,Hotel,49.1,1698.6,1951.0
735 S ST ANDREWS PL,43.9,85,22320.0,Multifamily Housing,33.6,1227.6,1928.0
14747 ROSCOE BLVD,94,58,31604.0,Multifamily Housing,51.5,2042.9,1961.0
14606 BLYTHE ST,77,23,20192.0,Multifamily Housing,65.2,2494.8,1962.0
11919 CULVER BLVD,58.9,34,24805.0,Multifamily Housing,38.1,876.0,1989.0
1219 N VERMONT AVE,69.2,75,28534.0,Multifamily Housing,42.7,2056.4,1926.0
6705 RIVERTON AVE,52.9,100,66050.0,Multifamily Housing,13.6,4694.8,1979.0
508 GULF AVE,47.8,100,39280.0,Multifamily Housing,21.9,1651.0,1985.0
14541 VICTORY BLVD,177,53,46924.0,Office,58.2,536.4,1962.0
825 COLORADO BLVD,104.2,92,54287.0,Office,28.1,1967.2,1974.0
729 S ST ANDREWS PL,40.2,96,20968.0,Multifamily Housing,32.8,721.1,1928.0
424 S BROADWAY,200.9,18,74624.0,Multifamily Housing,42.8,3201.7,1906.0
6660 VINELAND AVE,52.4,83,23615.0,Multifamily Housing,36.4,1217.1,1985.0
8607 TUSCANY AVE,57.4,93,29335.0,Multifamily Housing,31.4,1189.4,1971.0
7901 WOODLEY AVE,35,96,60000.0,Distribution Center,8.7,275.3,1980.0
3950 LOS FELIZ BLVD,79.8,62,31742.0,Multifamily Housing,43.3,2060.9,1950.0
11660 TUXFORD ST,27.3,Not Available,20850.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",19.1,25.0,1978.0
849 GRAMERCY DR,136.1,47,45624.0,Multifamily Housing,52.3,3295.2,1929.0
12254 BURBANK BLVD,79.9,46,24794.0,Multifamily Housing,55.2,1671.9,1958.0
324 N OAKHURST DR,56.3,73,31680.0,Multifamily Housing,27.6,1051.1,1965.0
417 S BONNIE BRAE ST,158.6,42,49600.0,Multifamily Housing,55.6,18596.6,1990.0
9727 DE SOTO AVE,2128,Not Available,88576.0,Manufacturing/Industrial Plant,354.8,6359.2,1988.0
11121 ARMINTA ST,105.8,69,40150.0,Multifamily Housing,45.2,3401.4,1969.0
3663 W WILSHIRE BLVD,281.4,Not Available,94500.0,Worship Facility,51.3,1796.8,1929.0
3903 WILSHIRE BLVD,30.8,Not Available,45303.0,Worship Facility,10.2,354.2,1926.0
5500 S FIGUEROA ST,88.7,99,36451.0,Multifamily Housing,43.4,2517.2,2000.0
844 S FEDORA ST,104.3,100,81060.0,Multifamily Housing,20.7,2203.0,2008.0
13516 DESMOND ST,72,Not Available,25810.0,Other,40.8,261.1,1963.0
12001 RUNNYMEDE ST,112,35,32253.0,Multifamily Housing,59.7,3119.4,1978.0
527 S HOBART BLVD,42.3,100,32520.0,Multifamily Housing,20.5,1743.0,1930.0
1008 ROSEMONT AVE,78.7,96,42153.0,Multifamily Housing,32.4,6059.2,1985.0
22122 ERWIN ST,147.3,68,83503.0,Multifamily Housing,26.0,2565.8,1971.0
15105 MISSION HILLS RD,764.5,Not Available,147310.0,Residential Care Facility,75.7,17803.7,1992.0
16909 PARTHENIA ST,38.6,86,21729.0,Office,25.9,154.1,1984.0
1221 W 7TH ST,266,88,109559.0,Multifamily Housing,39.1,6621.8,2003.0
20327 NORDHOFF ST,42.7,Not Available,26260.0,Manufacturing/Industrial Plant,24.0,151.9,1968.0
4201 W SUNSET BLVD,86.8,100,53868.0,Senior Living Community,25.5,1499.1,2007.0
11665 W OLYMPIC BLVD,275.4,Not Available,19765.0,Worship Facility,203.3,1946.4,1998.0
5500 W 83RD ST,48,Not Available,39960.0,Manufacturing/Industrial Plant,17.5,167.6,1960.0
11692 CHENAULT ST,71.6,71,32764.0,Multifamily Housing,38.0,1013.6,1959.0
1825 N CAHUENGA BLVD,114.2,35,37900.0,Multifamily Housing,48.8,2443.1,1925.0
10990 ASHTON AVE,66.8,50,27006.0,Multifamily Housing,41.9,1163.2,1969.0
729 S ST ANDREWS PL,38.2,97,20968.0,Multifamily Housing,31.3,684.5,1928.0
20327 NORDHOFF ST,41.7,Not Available,26260.0,Manufacturing/Industrial Plant,23.5,135.4,1968.0
3327 E SABINA ST,263.5,82,155529.0,Multifamily Housing,29.8,8713.3,2012.0
6851 SEPULVEDA BLVD,81.1,58,23450.0,Multifamily Housing,60.2,2563.6,1978.0
1975 N BEACHWOOD DR,72.9,71,23000.0,Multifamily Housing,50.9,1198.4,1925.0
735 S ST ANDREWS PL,39.7,92,22320.0,Multifamily Housing,30.6,1328.5,1928.0
735 S ST ANDREWS PL,43,86,22320.0,Multifamily Housing,32.6,1751.9,1928.0
9848 TABOR ST,93.4,95,57810.0,Multifamily Housing,27.5,2402.7,1977.0
8607 TUSCANY AVE,52.1,94,29335.0,Multifamily Housing,30.9,1018.8,1971.0
8607 TUSCANY AVE,54.9,96,29335.0,Multifamily Housing,30.7,1000.1,1971.0
6138 FRANKLIN AVE,384.8,15,119161.0,Multifamily Housing,52.2,5307.4,2010.0
3367 ANDRITA ST,33.4,100,28399.0,Multifamily Housing,19.7,727.9,1989.0
5500 W 83RD ST,43,Not Available,39960.0,Manufacturing/Industrial Plant,15.7,200.5,1960.0
8607 TUSCANY AVE,50.3,99,29335.0,Multifamily Housing,27.5,1121.3,1971.0
1241 W 6TH ST,59.1,69,22978.0,Multifamily Housing,45.3,1319.6,1907.0
8555 EMERSON AVE,52.7,72,25956.0,Multifamily Housing,34.0,791.4,1990.0
511 S PARK VIEW ST,161.4,74,88500.0,Multifamily Housing,27.6,8821.0,1987.0
